,source,author,title,description,url,urlToImage,publishedAt,content,preds
0,"{'id': None, 'name': 'NDTV News'}",,"Moderna, Pfizer Covid Vaccines Likely In India Next Year: Report - NDTV","Moderna is expecting to launch a single-dose COVID-19 vaccine in India next year and is in talks with Cipla among other firms, while Pfizer is ready to offer 5 crore shots in 2021 but it wants significant regulatory relaxations.",https://www.ndtv.com/india-news/moderna-pfizer-covid-19-vaccines-likely-in-india-next-year-report-2449189,https://c.ndtvimg.com/2021-04/r9rjee5g_moderna-covid19-vaccine_625x300_06_April_21.jpg,2021-05-25T16:47:15Z,"Moderna has said doesn't have surplus COVID-19 vaccines to share in 2021. (File)
New Delhi: Moderna is expecting to launch a single-dose COVID-19 vaccine in India next year and is in talks with Cipl… [+4515 chars]",0.7931707
1,"{'id': None, 'name': 'Moneycontrol'}",,Second COVID-19 wave will have material impact on vehicle financers’ asset quality: Ind-Ra study - Moneycontrol.com,"The research agency cited measures taken by government during the first COVID-19 wave to cushion it with example of regulatory moratorium, loan restructuring, additional funding through the emergency credit line guarantee scheme raised optimism about faster-t…",https://www.moneycontrol.com/news/business/economy/second-covid-19-wave-will-have-material-impact-on-vehicle-financers-asset-quality-ind-ra-study-6938631.html,https://images.moneycontrol.com/static-mcnews/2018/01/Diesel-trucks-770x433.jpg,2021-05-25T16:47:11Z,India Ratings and Research (Ind-Ra) on May 25 said that the second COVID-19 wave will have a material impact on vehicle financers asset quality as borrowers are grappling with reduced capacity utilis… [+2543 chars],0.7744663
2,"{'id': None, 'name': 'The Indian Express'}",Express Web Desk,Bharat Biotech expects WHO nod for Covaxin for emergency use listing by September - The Indian Express,The WHO approval holds importance as there is a discussion about granting vaccine passports only to those given WHO-approved vaccines.,https://indianexpress.com/article/india/covaxin-who-approval-bharat-biotech-7330151/,https://images.indianexpress.com/2021/05/Covaxin-4.jpg,2021-05-25T16:24:41Z,"Vaccine developer Bharat Biotech on Tuesday said it expects approval for its Covid-19 vaccine Covaxin from the World Health Organisation (WHO) for emergency use listing (EUL) by July-September.
The … [+2147 chars]",0.5832247
3,"{'id': None, 'name': 'Moneycontrol'}",,"Zeta has rewritten entire banking stack, this hasn't been done before: Co-founder Bhavin Turakhia - Moneycontrol.com",Zeta wants to reimagine the core banking stack for traditional banks- which currently use older solutions like Finacle and Flexcube from IT frms and wants to provide banks and fintechs with a mobile.,https://www.moneycontrol.com/news/business/startup/zeta-has-rewritten-entire-banking-stack-this-hasnt-been-done-before-co-founder-bhavin-turakhia-6938481.html,https://images.moneycontrol.com/static-mcnews/2019/03/Fintech-3-770x433.jpg,2021-05-25T15:17:59Z,"Serial entrepreneur Bhavin Turakhia's banking software startup Zeta became India's newest unicorn this week after it raised $250 million at a valuation of $1.45 Billion, in a round led by SoftBank.
… [+7729 chars]",0.9648863
4,"{'id': 'the-times-of-india', 'name': 'The Times of India'}",Milan Vaishnav CMT MSTA,Trade setup: Nifty up move appears stalled; protect profit at higher levels - Economic Times,We enter the penultimate day of derivatives expiry for the current month. This and the routine weekly or monthly expiry of the options will also continue to affect the trend.,https://economictimes.indiatimes.com/markets/stocks/news/trade-setup-nifty-up-move-appears-stalled-protect-profit-at-higher-levels/articleshow/82945901.cms,"https://img.etimg.com/thumb/msid-82945859,width-1070,height-580,imgsize-307229,overlay-etmarkets/photo.jpg",2021-05-25T15:14:00Z,"In yet another day of consolidation, the Indian equity markets failed to take any decisive directional bias and ended the day on a flat note. The markets opened on a positive note and marked its intr… [+3046 chars]",0.9999009
5,"{'id': None, 'name': 'YourStory'}",Thimmaya Poojary,[Funding alert] Sentieo raises $20M in Series B round led by Ten Coves Capital - YourStory,Sentieo plans to use this funding for market expansion and investments into the digital transformation of financial and corporate research.,https://yourstory.com/2021/05/funding-alert-fintech-startup-sentieo-raises-20-million/amp,https://images.yourstory.com/cs/2/11718bd02d6d11e9aa979329348d4c3e/Imageopwm-1611036451768.jpg,2021-05-25T13:04:24Z,"Sentieo, the US and India based fintech startup founded by Alap Shah and Naman Shah, has raised $20 million in a Series B round of funding.
This round was led by Ten Coves Capital with participation… [+1883 chars]",0.99438953
6,"{'id': None, 'name': 'Investing.com'}",Investing.com,SBI Provides Some Insight on how India's Economy Grew in FY 20-21 - Investing.com India,"The Financial News section features stock market news in addition to stories about bonds, forex, commodities and economic releases.",https://in.investing.com/news/indias-gdp-to-grow-at-13-in-march-sbi-report-2739100,https://i-invdn-com.akamaized.net/news/https://i-invdn-com.akamaized.net/akapi-images/800x450/ab2131777f4dd0c8599de8805a7a2097_w_800_h_450.jpg,2021-05-25T13:02:30Z,"By Aditya Raghunath
Investing.com -- State Bank Of India (NS:
SBI
)s Ecowrap report said that Indias GDP is likely to grow at 1.3% in the fourth quarter of FY21, ended March 31. It also said that … [+1088 chars]",0.9532979
7,"{'id': None, 'name': 'Moneycontrol'}",,RBI Governor Shaktikanta Das tells private bank chiefs to boost credit flow - Moneycontrol,Das told bankers to continue strengthening their balance sheets.,https://www.moneycontrol.com/news/business/rbi-governor-tells-private-bank-chiefs-to-boost-credit-flow-6937741.html,https://images.moneycontrol.com/static-mcnews/2019/06/RBI_Shaktikanta-Das-770x433.jpg,2021-05-25T12:57:49Z,Reserve Bank of India (RBI) Governor Shaktikanta Das on May 25 told chiefs of select private banks to boost credit flows to retail and business borrowers. He also called on them to implement the meas… [+2310 chars],0.999812
8,"{'id': None, 'name': 'Moneycontrol'}",,"Bajaj Electricals eyes debt-free position by end of FY22, to stay away from power distribution projects - Moneycontrol.com",Bajaj Electricals posted a consolidated net profit of Rs 54.26 crore for the March quarter (Q4). The company had posted loss of Rs 81 lakh in the year-ago period.,https://www.moneycontrol.com/news/business/companies/bajaj-electricals-eyes-debt-free-position-by-end-of-fy22-to-stay-away-from-power-distribution-6937031.html,https://images.moneycontrol.com/static-mcnews/2020/02/Anant_Purandare-651x435-770x433.jpg,2021-05-25T12:41:35Z,"Bajaj Electricals is looking to get rid of its debt in FY22 and will stay away from power distribution space in the engineering, procurement and construction (EPC) business in this fiscal.
In an int… [+2128 chars]",0.9980808
9,"{'id': None, 'name': 'Livemint'}",PTI,Up to $414 bn in profits can be gained by using cloud for biz growth: Infosys - Mint,"The survey was conducted by the Infosys Knowledge Institute, a research arm of Infosys, with over 2,500 respondents from companies across the six regions",https://www.livemint.com/companies/news/up-to-414-bn-in-profits-can-be-gained-by-using-cloud-for-biz-growth-infosys-11621945021533.html,https://images.livemint.com/img/2021/05/25/600x338/5bffeba4-7cd7-11eb-8764-8b60bce853cf_1618393179581_1621945530968.jpg,2021-05-25T12:27:56Z,"BENGALURU :
Enterprises in the US, the UK, France, Germany, Australia and New Zealand can add up to $414 billion in net new profits, annually, through effective cloud adoption, according to a survey… [+1947 chars]",0.999727
